fen,phase,move_number,turn,material_diff,your_moves,time_taken,eval_before_cp,eval_after_cp,mate_before_dist,mate_after_dist,best_stockfish,eval_deviations
rn1qkbnr/3p3p/p1b1ppp1/1p2P1N1/8/3B4/PPP2PPP/RNBQK2R w KQkq - 0 10,middlegame,19,white,0,"e5f6,g5e4,g5f3",23.1,113.0,"19,-122,-41",,"None,None,None",g5h7,"94,235,154"
rnb1kbnr/p5pp/p7/5p2/8/1P1q4/1B1P1PPP/RN1QK1NR w KQkq - 0 12,middlegame,23,white,-3,"d1e2,d1h5,g1e2",27.11,-211.0,"-432,-314,-195",,"None,None,None",g1e2,"221,103,16"
r2kr3/ppp3p1/5n1p/4n2b/4PB2/1BN2P2/PPP3PP/R4RK1 w - - 1 15,middlegame,29,white,2,"a1d1,f4e5,g2g4",46.07,493.0,"469,435,483",,"None,None,None",f4g3,"24,58,10"
rnbqkbnr/pp3ppp/2p1p3/2Pp4/1P1P4/8/P3PPPP/RNBQKBNR b KQkq - 0 4,opening,8,black,0,"a7a5,g8f6,b7b6",11.67,-65.0,"-80,-7,-24",,"None,None,None",a7a5,"15,58,41"
3b3r/4kppp/pp2pn2/8/2N2P2/8/PPP3PP/2K3NR b - - 3 18,endgame,36,black,0,"b6b5,f6d5,d8c7",35.87,-87.0,"-122,-113,-89",,"None,None,None",d8c7,"35,26,2"
rnbqk2r/pp2bppp/5n2/3p4/8/5N1P/PPP1BPP1/RNBQ1RK1 b kq - 0 8,middlegame,16,black,0,"e8g8,b8c6,c8e6",27.99,27.0,"15,17,20",,"None,None,None",b8c6,"12,10,7"
r2qk2r/ppp1b1pp/2nppn2/4p1B1/4P3/2PP1N1P/PP3PP1/RN1QK2R w KQkq - 0 9,middlegame,17,white,0,"e1g1,d1b3,d1b3",41.24,32.0,"30,37,29",,"None,None,None",b1d2,"2,5,3"
r5k1/5qpp/bpnBp1p1/p2pP2r/7N/P1Q3P1/2P2P1P/4RRK1 b - - 2 23,middlegame,46,black,-1,"a6f1,a8c8,c6e7",61.66,-282.0,"244,-306,-237",,"None,None,None",a8c8,"526,24,45"
r1bq1rk1/pp2ppbp/2np1np1/8/2B1PB2/2N2N2/PP3PPP/2RQ1RK1 w - - 8 10,middlegame,19,white,-1,"f1e1,h2h3,d1e2",28.78,-42.0,"-67,-56,-110",,"None,None,None",h2h3,"25,14,68"
2rk2nr/3p1p2/n1b5/p6p/2R2B1P/8/P2K4/8 w - - 6 29,middlegame,57,white,-13,"f4g5,c4c3,f4d6",30.48,-845.0,"-873,-870,-902",,"None,None,None",c4c3,"28,25,57"
rn1qkbnr/pbpppp1p/1p4p1/8/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 1 4,opening,8,black,0,"g8f6,f8g7,g8f6",22.3,96.0,"95,96,99",,"None,None,None",g8f6,"1,0,3"
7Q/p5K1/1p6/3p4/5k2/2P5/PP2p3/8 b - - 0 49,endgame,98,black,8,"e2e1q,e2e1q,e2e1q",10.74,2.0,"0,0,0",,"None,None,None",e2e1q,"2,2,2"
2r1k2r/pp1b2pp/1qn1p1p1/3pP3/1b1P1PP1/P1N1BN2/1P5P/R2QK2R b KQk - 0 13,middlegame,26,black,0,"b4e7,b4c3,b4e7",18.7,-142.0,"-96,-131,-92",,"None,None,None",b4c3,"46,11,50"
r1bqk1nr/pppp1pp1/2n4p/2b2N2/2B1P3/8/PPP2PPP/RNBQK2R b KQkq - 2 6,middlegame,12,black,0,"g8f6,d8f6,d8f6",37.6,-10.0,"64,65,73",,"None,None,None",d7d6,"74,75,83"
rnbq1rk1/ppp2ppp/5n2/2b1p3/4P3/2NB1N2/PPP2PPP/R1BQ1RK1 b - - 5 7,middlegame,14,black,0,"c8g4,c8g4,d8e7",17.6,11.0,"35,36,19",,"None,None,None",f8e8,"24,25,8"
