fen,phase,move_number,turn,material_diff
rnbq1rk1/p2p1pbp/1p2pnp1/2pP4/2P1P3/2NB1N2/PP3PPP/R1BQK2R w KQ - 0 8,middlegame,15,white,0
rnbq1rk1/p2p1pbp/1p1Ppnp1/2p5/2P1P3/2NB1N2/PP3PPP/R1BQK2R b KQ - 0 8,middlegame,16,black,0
N2q1rk1/pb1p1pbp/1pnPpnp1/2p5/2P1P3/3B1N2/PP3PPP/R1BQK2R b KQ - 0 11,middlegame,22,black,5
r2q1rk1/pb1pbppp/1pn2n2/2p5/2PPp3/1PN1PN2/PB2BPPP/2RQ1RK1 w - - 0 11,middlegame,21,white,0
r2q1rk1/pb2bppp/1pn5/8/3PN3/1PB5/P3BPPP/2RQ1RK1 b - - 0 15,middlegame,30,black,1
5rk1/p4ppp/1p2b2b/1R2B3/8/1P3BP1/P2r1P1P/5RK1 w - - 9 25,middlegame,49,white,0
r2qkb1r/pp1bnppp/4p3/3pP3/1n1P1PP1/2NB1N2/PP5P/R1BQ1RK1 b kq - 6 11,middlegame,22,black,0
r3kn1r/pp1bPp1p/8/q2NP3/3P2p1/P2Q1N2/1P5P/R1B2RK1 w kq - 1 19,middlegame,37,white,4
rnbqkb1r/pp2nppp/4p3/2ppP3/3P4/2P5/PP3PPP/RNBQKBNR w KQkq - 1 5,opening,9,white,0
rn2kbnr/3b1ppp/p3p3/1p1Pp3/8/1Q1BN3/PP1B1PPP/R3K2R w KQkq - 0 14,middlegame,27,white,5
r4bnr/3Q1ppp/1kn5/1p2R3/8/8/PP1B1PPP/R5K1 w - - 1 22,middlegame,43,white,4
4Rb1r/B3nppp/1Q6/1p6/k7/1P6/P4PPP/R5K1 b - - 0 27,middlegame,54,black,12
6k1/pR3p1p/1b4p1/8/8/7P/r3rPP1/4BRK1 w - - 1 28,endgame,55,white,-1
r4rk1/pp2ppbp/2np1np1/6B1/2P5/P1NQPN2/1q3PPP/R4RK1 b - - 1 13,middlegame,26,black,-1
6k1/pp3p1p/1b4p1/8/1Br5/P6P/4rPP1/3R1RK1 b - - 0 24,endgame,48,black,-1
4r2k/p5p1/4rp1p/6b1/1P1PP1P1/P2B1RP1/8/4R1K1 b - - 0 32,endgame,64,black,2
4rr1k/p5p1/B4p1p/8/1P1P2Pb/P3PRP1/8/R5K1 b - - 0 29,endgame,58,black,2
r1bqk2r/pppp1pp1/2n2n1p/2b1p3/2B1P3/3P1N2/PPP2PPP/RNBQ1RK1 w kq - 2 6,middlegame,11,white,0
7k/7p/8/8/8/1P4R1/P1P4r/3K4 b - - 0 32,endgame,64,black,2
6k1/p1p3rp/1pR3p1/8/8/8/PPP1rPPP/2K4R w - - 1 22,endgame,43,white,1
rnb1kbr1/pppp1p1p/6p1/6N1/8/2B5/PPP2PPP/R3KB1R b KQq - 3 10,middlegame,20,black,-1
r1b1q1k1/pp1p2r1/2N1pn1p/5p2/3P4/2P4P/PP2BPP1/RN1Q1RK1 b - - 0 20,middlegame,40,black,4
r1b2rk1/pp1p2b1/2n1p2p/4Bp1q/3P2n1/2P2N2/PP2BPPP/RN1Q1RK1 w - - 9 15,middlegame,29,white,1
rnb1k2r/pppp2b1/4pnqp/5p2/3P1B2/2PB1N2/PP3PPP/RN1Q1RK1 w kq - 2 10,middlegame,19,white,0
8/5pkp/6p1/p7/8/6P1/P1KR1P1P/7r w - - 3 35,endgame,69,white,0
8/5pkp/6p1/p7/8/5PP1/P1KR3P/7r b - - 0 35,endgame,70,black,0
8/5p2/8/6kp/8/3R1Pr1/P1K5/8 b - - 1 41,endgame,82,black,0
1r2kb1r/pb4pp/8/3qp3/3p4/7P/PPP1N1P1/1RBQKR2 b k - 1 18,middlegame,36,black,0
1r1qkb1r/pb3ppp/8/3pp3/8/2N4P/PPP2PP1/1RBQ1RK1 b k - 3 13,middlegame,26,black,0
2kr3r/p4Rpp/8/4Q3/1P2b3/7P/PP2N1q1/1RB1K3 w - - 3 25,middlegame,49,white,4
r1bqkbnr/ppp1p1pp/2n2p2/4P3/8/N1Pp1N2/PP1P1PPP/R1BQKB1R w KQkq - 0 6,middlegame,11,white,0
r1bqkbnr/ppp1pppp/2n5/4P3/3p4/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 4,opening,7,white,0
